photo_id,photo_url,album_ids,image_preview_url,album_title,event_name,event_year,people_count,subject_type,photographer,license,scene_tags,mood_tags,recommended_uses,sponsorship_items,sponsorship_tags,orientation,has_negative_space,safe_crop,visual_description,public_use_status,priority_level,collections,curation_notes,curation_status
54681614067,https://www.flickr.com/photos/sitcon/54681614067,72177720327845115,https://live.staticflickr.com/65535/54681614067_3fae7f7788_q.jpg,SITCON Camp 2025 Day 4,,,0,text_signage,康喔,,背板,,贊助成果報告,會場攤位,攤位曝光;品牌露出;贊助成果佐證,landscape,true,1:1,牆面上可見大型 Mozilla 字樣與狐狸圖案，左側還露出部分紅色標示與人像照片。,,high,,Flickr title: 康喔_4,ai_labeled
54682769955,https://www.flickr.com/photos/sitcon/54682769955,72177720327845115,https://live.staticflickr.com/65535/54682769955_2b7d337d46_q.jpg,SITCON Camp 2025 Day 4,,,1,people,IMG,,交流,活力;友善,社群貼文,,,landscape,true,,黃衣女性站在簡潔牆面前張口微笑，雙手自然放在身前，畫面背景留有大片淺綠色空牆。,,high,,Flickr title: IMG_2630,ai_labeled
54682647743,https://www.flickr.com/photos/sitcon/54682647743,72177720327873819,https://live.staticflickr.com/65535/54682647743_022b32f8fd_q.jpg,SITCON Camp 2025 Day 1,,,1,people,康喔,,會眾,,,,,landscape,false,,一名男生近距離張口打呵欠或說話，臉部佔滿畫面左側，背景是模糊白衣肩膀。,avoid,,,Flickr title: 康喔_0333,ai_labeled
54978069878,https://www.flickr.com/photos/sitcon/54978069878,72177720330876634,https://live.staticflickr.com/65535/54978069878_89999ae33e_q.jpg,2025 SITCON Hour of Code 桃園場,,,3,people,康喔,,兒童;工作坊,專注,,,,landscape,false,,穿彩色條紋外套的小孩趴在桌前寫紙張，旁邊有大人低頭協助。,needs_review,,,Flickr title: 康喔_8003,ai_labeled
54977890006,https://www.flickr.com/photos/sitcon/54977890006,72177720330876634,https://live.staticflickr.com/65535/54977890006_2df759a4bc_q.jpg,2025 SITCON Hour of Code 桃園場,,,5,people,康喔,,兒童;工作坊;交流,專注;交流感,,,,landscape,false,,多名大人圍著穿彩色外套的小孩看桌面紙張，有人彎腰指向紙面。,needs_review,,,Flickr title: 康喔_8005,ai_labeled
54847451413,https://www.flickr.com/photos/sitcon/54847451413,72177720329615498,https://live.staticflickr.com/65535/54847451413_5ddc0fde9e_q.jpg,SITCON 2026 負一籌＋BoF,,,1,people,竺原,,工作人員,幕後感,社群介紹,,,landscape,true,1:1,一名戴眼鏡的人低頭在室內整理手中小物，背景是白牆與包袋。,,,,Flickr title: 竺原-6025,ai_labeled
54847452218,https://www.flickr.com/photos/sitcon/54847452218,72177720329615498,https://live.staticflickr.com/65535/54847452218_1bf6ef59b4_q.jpg,SITCON 2026 負一籌＋BoF,,,18,people,竺原,,會眾,熱鬧,社群貼文;社群介紹,,,landscape,false,1:1,一名背包男子在擁擠教室中微笑，前後景可見多名與會者。,,,,Flickr title: 竺原-5983,ai_labeled
54846336627,https://www.flickr.com/photos/sitcon/54846336627,72177720329615498,https://live.staticflickr.com/65535/54846336627_f2535ef2b7_q.jpg,SITCON 2026 負一籌＋BoF,,,2,people,竺原,,講者,專業,講者宣傳,,,landscape,true,,一名穿粉色上衣的人站在黑板前拿麥克風說話，旁邊有 SITCON 立牌。,,,,Flickr title: 竺原-5979,ai_labeled
54846324892,https://www.flickr.com/photos/sitcon/54846324892,72177720329615498,https://live.staticflickr.com/65535/54846324892_9657243551_q.jpg,SITCON 2026 負一籌＋BoF,,,0,object,pU,,場地,安靜,簡報;活動回顧,,,landscape,true,16:9,空座位前方放著綠色 SITCON 立牌，桌上有背包與水瓶。,,,,Flickr title: pU_064,ai_labeled
54847195941,https://www.flickr.com/photos/sitcon/54847195941,72177720329615498,https://live.staticflickr.com/65535/54847195941_cc2f73bf6c_q.jpg,SITCON 2026 負一籌＋BoF,,,2,food,竺原,,茶點,,活動回顧,,,landscape,false,,桌面上有綠色 SITCON 立牌、紙桶與取餐者的手，桶內放著炸物。,,,,Flickr title: 竺原-5995,ai_labeled
